oldcode;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop_tot;men_tot;men_ecl_elec;men_ecl_group;men_ecl_solaire;men_ecl_lampe;men_ecl_bois;men_ecl_torche;men_ecl_autre
CI210302;Denguele;E3;Odienne;E301;Bako;28373;3767;2849;61;181;16;6;652;2
CI210303;Denguele;E3;Odienne;E302;Bougousso;10151;1066;938;8;40;6;4;70;0
CI210304;Denguele;E3;Odienne;E303;Dioulatiedougou;20285;3025;1195;13;841;4;35;936;1
CI210301;Denguele;E3;Odienne;E304;Odienné;86279;20193;19620;91;110;46;28;294;4
CI210305;Denguele;E3;Odienne;E305;Tiémé;11644;1986;1844;48;20;6;0;68;0
CI210402;Denguele;E4;Samatiguila;E401;Kimbirila Sud;11933;1686;1584;4;15;7;3;69;4
CI210401;Denguele;E4;Samatiguila;E402;Samatiguila;7777;1612;1460;29;52;12;6;52;1
CI210502;Denguele;E5;Séguélon;E501;Gbongaha;12372;1772;1185;5;508;3;0;71;0
CI210501;Denguele;E5;Séguélon;E502;Séguélon;21213;3338;2415;6;524;12;2;357;22
CI100101;Denguele;E6;Kaniasso;E601;Goulia;27121;2331;1760;4;373;4;0;189;1
CI100102;Denguele;E6;Kaniasso;E602;Kaniasso;18639;2193;1914;6;171;0;5;97;0
CI100103;Denguele;E6;Kaniasso;E603;Mahandiana-Sokourani;38812;4035;2756;25;996;32;4;218;4
CI100202;Denguele;E7;Minignan;E701;Kimbirila-Nord;9415;1242;765;0;220;49;16;191;1
CI100201;Denguele;E7;Minignan;E702;Minignan;24251;4292;3529;6;374;15;6;362;0
CI100203;Denguele;E7;Minignan;E703;Sokoro;8109;1586;1138;2;158;5;5;278;0
CI100204;Denguele;E7;Minignan;E704;Tienko;19862;2833;2164;5;409;29;5;220;1
CI130101;Goh-Djiboua;F1;Gagnoa;F101;Bayota;54139;9022;5729;76;1544;305;12;1355;1
CI130102;Goh-Djiboua;F1;Gagnoa;F102;Dahiépa-Kéhi;20827;4261;3551;2;282;8;2;412;4
CI130103;Goh-Djiboua;F1;Gagnoa;F103;Dignago;35712;6233;4021;55;1056;129;17;952;3
CI130104;Goh-Djiboua;F1;Gagnoa;F104;Dougroupalégnoa;58655;9609;7439;19;1214;88;7;841;1
CI130105;Goh-Djiboua;F1;Gagnoa;F105;Doukouyo;18867;2869;1574;12;1045;15;4;217;2
CI130106;Goh-Djiboua;F1;Gagnoa;F106;Gagnoa;277044;56063;51456;188;1927;338;23;2090;41
CI130107;Goh-Djiboua;F1;Gagnoa;F107;Galébouo;38550;7442;5528;92;787;12;26;967;30
CI130108;Goh-Djiboua;F1;Gagnoa;F108;Gnagbodougnoa;17196;3171;2710;2;59;37;2;361;0
CI130109;Goh-Djiboua;F1;Gagnoa;F109;Guiberoua;77669;14794;8487;95;3015;201;18;2973;5
CI130110;Goh-Djiboua;F1;Gagnoa;F110;Ouragahio;50150;9227;7138;13;975;207;2;883;9
CI130111;Goh-Djiboua;F1;Gagnoa;F111;Sérihio;46320;7537;2512;167;3543;45;17;1249;4
CI130112;Goh-Djiboua;F1;Gagnoa;F112;Yopohue;29367;4865;3512;21;864;62;8;398;0
CI130202;Goh-Djiboua;F2;Oumé;F201;Diégonéfla;74076;14809;11664;34;1059;140;10;1874;28
CI130203;Goh-Djiboua;F2;Oumé;F202;Guépahouo;28007;4427;3225;6;422;94;9;668;3
CI130201;Goh-Djiboua;F2;Oumé;F203;Oumé;127153;25028;18440;143;2811;436;18;3148;32
CI130204;Goh-Djiboua;F2;Oumé;F204;Tonla;31550;5192;3958;16;556;20;2;607;33
CI220101;Goh-Djiboua;F3;Divo;F301;Chiépo;26330;3809;898;46;2440;11;1;408;5
CI220102;Goh-Djiboua;F3;Divo;F302;Didoko;34280;5510;3420;27;1025;50;3;983;2
CI220103;Goh-Djiboua;F3;Divo;F303;Divo;294559;54662;45466;361;5247;325;16;3108;139
CI220104;Goh-Djiboua;F3;Divo;F304;Hiré;78139;16619;14514;31;840;62;10;1153;9
