"lon";"lat";"duree";"groupe";"sexe";"age";"statut";"instr";"habitat";"tailmen";"tailmen_4";"enfmen";"enfmen_4";"sac_riz";"orig";"raison";"transport";"alim";"mines";"cmu";"cmu_utilise";"eau_autre";"eau_bouteille";"eau_forage";"eau_robinet"
-5,024675;7,697126;5,93181666930517;"3.Eau";"Homme";"18-29";"Célibataire";"Secondaire";"Maison";6;"(4,8]";2;"(0,2]";1;"Bouaké";"Autre";"auto";"non";"1.Très négative";"non";NA;0;0;1;1
-5,023348;7,696805;NA;"2.Démographie";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Villa";10;"(8,16]";8;"(4,8]";NA;"Bouaké";"Commerçant";"taxi";"non";"4.Positive";"oui";"non";0;0;0;1
-5,02481;7,697128;9,10619999965032;"4.Mines";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Maison";6;"(4,8]";3;"(2,4]";5;"Etranger";"Autre";"taxi-moto";"non";"1.Très négative";"non";NA;0;0;0;1
NA;NA;7,27120000123978;NA;"Femme";"30-44";"Marié ou concubinage";"Supérieur";"Maison";3;"(0,4]";1;"(0,2]";2;"Bouaké";"Particulier";"taxi";"oui";NA;"oui";"oui";0;1;0;1
NA;NA;11,0133833328883;"2.Démographie";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Villa";5;"(4,8]";5;"(4,8]";3;"Bouaké";"Commerçant";"taxi-moto";"non";"4.Positive";"oui";"oui";0;0;0;1
-5,02346;7,697436;5,92371666431427;"5.Santé";"Homme";"45+";"Marié ou concubinage";"Aucun";"Autre";15;"(8,16]";7;"(4,8]";3;"Bouaké";"Grossiste";"moto";"non";"5.Très positive";"oui";"non";0;0;0;1
NA;NA;NA;"7.Transport";"Femme";"30-44";"Marié ou concubinage";"Primaire";"Précaire";8;"(4,8]";6;"(4,8]";2;"Bouaké";"Grossiste";"taxi-moto";"non";"2.Négative";"non";NA;0;0;0;1
NA;NA;13,2732833305995;"6.Urbanisation";"Homme";"30-44";"Marié ou concubinage";"Aucun";"Précaire";5;"(4,8]";3;"(2,4]";2;"Bouaké";"Grossiste";"taxi-moto";"non";"3.Neutre";"oui";"oui";0;0;0;1
-5,024648;7,697123;9,28806666533152;"3.Eau";"Homme";"18-29";"Marié ou concubinage";"Aucun";"Maison";5;"(4,8]";2;"(0,2]";1;"Bouaké";"Transporteur";"auto";"oui";"4.Positive";"oui";"non";0;0;0;1
-5,0234;7,697516;18,1679833332698;"5.Santé";"Homme";"45+";"Marié ou concubinage";"Aucun";"Autre";12;"(8,16]";8;"(4,8]";4;"Bouaké";"Commerçant";"taxi-moto";"oui";"3.Neutre";"non";NA;0;0;1;0
